Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Harghita,0.020717506642425543,0.1777165581408108,0.10819563480438803,0.23278797564942158,0.021653616737792238,0.006594812493037739,0.012832944735200138,0.05032000992290968,0.0020089097554435876,0.0035287922945548165,0.10535176413909458,0.07411672610793459,0.05344814157380834,0.062209153635001006,0.06765500381634824,0.0007501025981785906,0.00011234695365052583
 Hunedoara,0.17402812446572577,0.005189188720561723,0.19531882469300857,0.02713438958787256,0.029695372573618064,0.12796145482461194,0.06447304544105666,0.005473798327452713,0.2206394175162454,0.09088214303929786,0.0015488960379644078,0.009727354290749024,0.022120689789573343,0.003334206219568798,0.0036631852204714534,0.018560031985795245,0.00024987726642660053
 Ialomita,0.025027610371910376,0.018847153861757386,0.41517174646841964,0.008188897029464053,0.009252425641143968,0.006164252987680037,0.0740721566557064,0.0396916012914311,0.0048260415534917495,0.07602429376219834,0.0581876789888826,0.0967355669928105,0.056918221257731064,0.02001400142520396,0.06283623242716568,0.02770427088355714,0.0003378484014457861
 Iasi,0.20416235131100982,0.045451892271121404,0.02536596380614848,0.517141068449858,0.05588152409814568,0.0030657329763747482,0.00011221809759966595,0.002673667847782388,0.014099343765328483,0.012678391290341654,0.08045320934085796,0.00584198718078617,0.023476467538908866,0.0059569661343970084,0.0020984747610726683,0.0015334628156616617,7.278314605417719e-06
 Ilfov,0.8393935548062226,0.05049756768470798,0.0346532154061102,0.0019183382304414148,0.01591678931300127,0.0004824095012767879,5.729338335155516e-06,0.00819765869722075,0.02650239695249566,0.003778892521839044,3.3190239217845724e-07,0.0011890729935110516,0.00634757395951651,0.0007993031123517222,0.010315447139672291,4.64287397954079e-07,1.2541535074653684e-06
 Maramures,0.12265928797059551,0.017128359095684578,0.2691654898217392,0.011737166795767952,0.06882178040672549,0.056572361168220134,0.04019448739445132,0.02340722210511788,0.024530111241046107,0.06075787901642679,0.03541656067124071,0.023208523891809666,0.19350812719620247,0.0484508985974568,0.001980913963146074,0.0015648637223133403,0.0008959669420559567
 Mehedinti,0.0025299454776600565,0.2832848304562883,0.3492096895433556,0.019821901094306368,0.03730257478910168,0.0992227471083193,0.010265085360523373,0.07080377235005986,0.00010287961997084346,0.01924704976046928,0.045201036324502814,2.2581656809544794e-05,0.01477947923503929,0.015898211789657925,0.01938391623199665,0.01272487487176215,0.00019942433017714704
 Municipiul Bucuresti,0.4040628609591239,0.0010266851373600522,0.03067059462424224,0.21585815478297998,0.0015464239033692012,0.06426469800736112,0.03238680017339239,0.05139012239903441,0.04242829776746067,0.040637499735720777,0.07422514914000229,0.00874065834128403,0.012005312137085571,0.0023328320628473362,0.01503885648497688,0.0032895432304127508,9.551111334652567e-05
 Mures,0.046044872369500243,0.011678760408058026,0.46171721837364155,0.01215834476835059,0.0002241729413137337,0.20674576727899016,0.0330060128252891,0.051289909222608024,0.000425993525497854,0.004142615183022793,0.08243893459114365,0.022211398344566338,0.003591356235135695,0.04955703123989476,0.0023826268425768157,0.012331681611714522,5.3304238696098765e-05
 Neamt,0.48077937947142435,4.403472813659378e-05,0.04214359162761611,0.0428319659426022,0.0020623212158643683,5.381783507089104e-06,0.05935221597201631,0.22926694441917517,0.010638594295950033,0.060902819896936466,0.03666868937205503,0.018663442310720018,0.0003605592941890722,0.013030438309879384,0.0015375001012091082,0.0017114563815452963,6.64877173263424e-07
 Olt,0.09571077958639843,0.10237138978396657,0.4686170459532896,0.03340487245688085,0.011221863857402368,0.060864123882980306,0.022694219699125547,0.0030003355454780215,0.0027878909707765866,0.132914945027291,0.005896816611694129,0.0015126985630469344,0.054642777563468296,0.004068367381521202,2.9470521698861864e-06,0.00024938927242951415,3.953679208076772e-05
